request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_180,59059.36,affordable_with_plan,installments,2026-07-06:11970|2026-08-03:11970|2026-08-31:11970|2026-09-28:11970|2026-10-26:11970|2026-11-23:11970,,none,Current balance 134980.0. Safe to pay 59059.36. Recommended installments.
request_181,0.0,not_affordable,not_recommended,none,,none,Current balance 3362.0. Safe to pay 0.0. Recommended not_recommended.
request_182,65714.0,affordable_now,full_payment,2025-08-05:65714,2025-08-05,none,Current balance 125010.3. Safe to pay 65714.0. Recommended full_payment.
request_183,14430141.83,affordable_with_plan,installments,2026-04-14:1701513.33|2026-05-15:1701513.33|2026-06-15:1701513.33|2026-07-16:1701513.33|2026-08-16:1701513.33|2026-09-16:1701513.33|2026-10-17:1701513.33|2026-11-17:1701513.33|2026-12-18:1701513.33|2027-01-18:1701513.33|2027-02-18:1701513.33|2027-03-21:1701513.33|2027-04-21:1701513.33|2027-05-22:1701513.33|2027-06-22:1701513.33|2027-07-23:1701513.33|2027-08-23:1701513.33|2027-09-23:1701513.33,,none,Current balance 42156223.74. Safe to pay 14430141.83. Recommended installments.
request_184,0.0,not_affordable,not_recommended,none,,none,Current balance 163160.0. Safe to pay 0.0. Recommended not_recommended.
request_185,0.0,not_affordable,not_recommended,none,,none,Current balance 2083.4. Safe to pay 0.0. Recommended not_recommended.
request_186,0.0,not_affordable,not_recommended,none,,none,Current balance 44863.5. Safe to pay 0.0. Recommended not_recommended.
request_187,35471.2,affordable_later,wait,2024-09-14:187500,2024-09-14,none,Current balance 195735.0. Safe to pay 35471.2. Recommended wait.
request_188,0.0,not_affordable,not_recommended,none,,none,Current balance 1485.3. Safe to pay 0.0. Recommended not_recommended.
request_189,488.4,affordable_now,full_payment,2026-07-04:488.4,2026-07-04,none,Current balance 1147.66. Safe to pay 488.4. Recommended full_payment.
request_190,444.04,affordable_later,wait,2025-01-14:2557.5,2025-01-14,none,Current balance 3155.8. Safe to pay 444.04. Recommended wait.
request_191,664.4,affordable_now,full_payment,2025-05-03:664.4,2025-05-03,none,Current balance 1591.06. Safe to pay 664.4. Recommended full_payment.
request_192,80.41,affordable_later,wait,2026-06-13:2046,2026-06-13,none,Current balance 1384.8. Safe to pay 80.41. Recommended wait.
request_193,0.0,not_affordable,not_recommended,none,,none,Current balance 1310.62. Safe to pay 0.0. Recommended not_recommended.
request_194,17976.78,not_affordable,not_recommended,none,,none,Current balance 208630.0. Safe to pay 17976.78. Recommended not_recommended.
request_195,0.0,not_affordable,not_recommended,none,,none,Current balance 2011.18. Safe to pay 0.0. Recommended not_recommended.
request_196,762.3,affordable_now,full_payment,2024-06-03:762.3,2024-06-03,none,Current balance 1575.65. Safe to pay 762.3. Recommended full_payment.
request_197,0.0,not_affordable,not_recommended,none,,none,Current balance 96081218.26. Safe to pay 0.0. Recommended not_recommended.
request_198,185800.0,affordable_now,full_payment,2026-07-07:185800,2026-07-07,none,Current balance 395190.0. Safe to pay 185800.0. Recommended full_payment.
request_199,23674000.0,affordable_with_plan,installments,2024-09-07:8206986.67|2024-10-08:8206986.67|2024-11-08:8206986.67,2024-09-04,none,Current balance 136691818.94. Safe to pay 23674000.0. Recommended installments.
request_200,21717000.0,affordable_now,full_payment,2025-02-06:21717000,2025-02-06,none,Current balance 53886150.0. Safe to pay 21717000.0. Recommended full_payment.
request_201,23997000.0,affordable_now,full_payment,2026-04-03:23997000,2026-04-03,none,Current balance 77973400.0. Safe to pay 23997000.0. Recommended full_payment.
request_202,123900.0,affordable_now,full_payment,2024-12-05:123900,2024-12-05,none,Current balance 366065.0. Safe to pay 123900.0. Recommended full_payment.
request_203,1442.1,affordable_with_plan,installments,2025-05-10:499.93|2025-06-07:499.93|2025-07-05:499.93,2025-05-07,none,Current balance 8327.38. Safe to pay 1442.1. Recommended installments.
request_204,93.54,affordable_with_plan,installments,2026-01-18:33.86|2026-02-18:33.86|2026-03-21:33.86|2026-04-21:33.86|2026-05-22:33.86|2026-06-22:33.86|2026-07-23:33.86|2026-08-23:33.86|2026-09-23:33.86|2026-10-24:33.86|2026-11-24:33.86|2026-12-25:33.86|2027-01-25:33.86|2027-02-25:33.86|2027-03-28:33.86|2027-04-28:33.86|2027-05-29:33.86|2027-06-29:33.86,,none,Current balance 2626.28. Safe to pay 93.54. Recommended installments.
request_205,9958777.94,affordable_later,wait,2024-04-14:10621000,2024-04-14,none,Current balance 31462900.0. Safe to pay 9958777.94. Recommended wait.
request_206,1404.7,affordable_with_plan,installments,2025-08-03:486.96|2025-08-31:486.96|2025-09-28:486.96,2025-08-03,none,Current balance 5231.14. Safe to pay 1404.7. Recommended installments.
request_207,3387.78,affordable_later,wait,2026-08-14:11830,2026-08-14,none,Current balance 26729.6. Safe to pay 3387.78. Recommended wait.
request_208,3179706.59,not_affordable,not_recommended,none,,none,Current balance 16928800.0. Safe to pay 3179706.59. Recommended not_recommended.
request_209,1484.9,not_affordable,not_recommended,none,2026-01-13,none,Current balance 27025.1. Safe to pay 1484.9. Recommended not_recommended.
request_210,852.93,affordable_with_plan,partial_payment,2026-04-06:852.93|2026-04-14:507.09,2026-04-14,none,Current balance 3525.32. Safe to pay 852.93. Recommended partial_payment.
request_211,354.47,affordable_later,wait,2024-10-14:1788.6,2024-10-14,none,Current balance 2727.89. Safe to pay 354.47. Recommended wait.
request_212,4774515.37,not_affordable,not_recommended,none,,none,Current balance 51923800.0. Safe to pay 4774515.37. Recommended not_recommended.
request_213,3362.4,affordable_with_plan,installments,2026-01-21:1165.63|2026-02-20:1165.63|2026-03-22:1165.63,2026-01-07,none,Current balance 12051.94. Safe to pay 3362.4. Recommended installments.
request_214,0.0,not_affordable,not_recommended,none,,none,Current balance 292180.0. Safe to pay 0.0. Recommended not_recommended.
request_215,29986.0,affordable_with_plan,installments,2025-05-09:10395.15|2025-06-06:10395.15|2025-07-04:10395.15,2025-05-06,none,Current balance 93951.16. Safe to pay 29986.0. Recommended installments.
request_216,140.18,not_affordable,not_recommended,none,,none,Current balance 2966.8. Safe to pay 140.18. Recommended not_recommended.
request_217,17280.51,affordable_with_plan,installments,2024-03-19:12889.07|2024-04-19:12889.07|2024-05-20:12889.07,2024-04-14,none,Current balance 58401.97. Safe to pay 17280.51. Recommended installments.
request_218,30115035.17,affordable_with_plan,installments,2025-08-07:21195893.33|2025-09-04:21195893.33|2025-10-02:21195893.33,2025-09-13,none,Current balance 72419614.8. Safe to pay 30115035.17. Recommended installments.
request_219,1181.65,affordable_with_plan,installments,2026-04-07:580.01|2026-05-07:580.01|2026-06-06:580.01,2026-04-14,none,Current balance 2815.51. Safe to pay 1181.65. Recommended installments.
request_220,14.21,not_affordable,not_recommended,none,,none,Current balance 1487.32. Safe to pay 14.21. Recommended not_recommended.
request_221,109800.0,affordable_now,full_payment,2025-11-03:109800,2025-11-03,none,Current balance 268305.0. Safe to pay 109800.0. Recommended full_payment.
request_222,34078.0,affordable_now,full_payment,2026-01-05:34078,2026-01-05,none,Current balance 118101.7. Safe to pay 34078.0. Recommended full_payment.
request_223,898.7,affordable_now,full_payment,2024-09-07:898.7,2024-09-07,none,Current balance 2255.51. Safe to pay 898.7. Recommended full_payment.
request_224,0.0,not_affordable,not_recommended,none,,none,Current balance 49969400.0. Safe to pay 0.0. Recommended not_recommended.
request_225,8142394.25,affordable_with_plan,installments,2026-07-06:1397070|2026-08-06:1397070|2026-09-06:1397070|2026-10-07:1397070|2026-11-07:1397070|2026-12-08:1397070|2027-01-08:1397070|2027-02-08:1397070|2027-03-11:1397070|2027-04-11:1397070|2027-05-12:1397070|2027-06-12:1397070|2027-07-13:1397070|2027-08-13:1397070|2027-09-13:1397070|2027-10-14:1397070|2027-11-14:1397070|2027-12-15:1397070,,none,Current balance 35791159.6. Safe to pay 8142394.25. Recommended installments.
request_226,157000.0,affordable_now,full_payment,2024-12-03:157000,2024-12-03,none,Current balance 581180.0. Safe to pay 157000.0. Recommended full_payment.
request_227,4568.8,not_affordable,not_recommended,none,,none,Current balance 105655.0. Safe to pay 4568.8. Recommended not_recommended.
request_228,0.0,not_affordable,not_recommended,none,,none,Current balance 36748550.0. Safe to pay 0.0. Recommended not_recommended.
request_229,382.15,affordable_with_plan,installments,2024-03-04:85.79|2024-04-01:85.79|2024-04-29:85.79|2024-05-27:85.79|2024-06-24:85.79|2024-07-22:85.79|2024-08-19:85.79|2024-09-16:85.79|2024-10-14:85.79|2024-11-11:85.79|2024-12-09:85.79|2025-01-06:85.79|2025-02-03:85.79|2025-03-03:85.79|2025-03-31:85.79|2025-04-28:85.79|2025-05-26:85.79|2025-06-23:85.79|2025-07-21:85.79|2025-08-18:85.79|2025-09-15:85.79,,none,Current balance 1800.52. Safe to pay 382.15. Recommended installments.
request_230,3537.6,affordable_now,full_payment,2025-08-06:3537.6,2025-08-06,none,Current balance 8676.76. Safe to pay 3537.6. Recommended full_payment.
request_231,24474.33,affordable_with_plan,installments,2026-01-10:2261.38|2026-02-10:2261.38|2026-03-13:2261.38|2026-04-13:2261.38|2026-05-14:2261.38|2026-06-14:2261.38|2026-07-15:2261.38|2026-08-15:2261.38|2026-09-15:2261.38|2026-10-16:2261.38|2026-11-16:2261.38|2026-12-17:2261.38|2027-01-17:2261.38|2027-02-17:2261.38|2027-03-20:2261.38|2027-04-20:2261.38|2027-05-21:2261.38|2027-06-21:2261.38,2026-02-13,none,Current balance 84590.59. Safe to pay 24474.33. Recommended installments.
request_232,0.0,not_affordable,not_recommended,none,,none,Current balance 4269.4. Safe to pay 0.0. Recommended not_recommended.
request_233,0.0,not_affordable,not_recommended,none,,none,Current balance 19341300.0. Safe to pay 0.0. Recommended not_recommended.
request_234,241.89,not_affordable,not_recommended,none,,none,Current balance 1274.25. Safe to pay 241.89. Recommended not_recommended.
request_235,693.64,affordable_with_plan,installments,2024-09-20:174.1|2024-10-20:174.1|2024-11-19:174.1|2024-12-19:174.1|2025-01-18:174.1|2025-02-17:174.1,,none,Current balance 2086.28. Safe to pay 693.64. Recommended installments.
request_236,5360318.49,not_affordable,not_recommended,none,,none,Current balance 31173450.0. Safe to pay 5360318.49. Recommended not_recommended.
request_237,23826000.0,affordable_now,full_payment,2026-04-05:23826000,2026-04-05,none,Current balance 100824550.0. Safe to pay 23826000.0. Recommended full_payment.
request_238,663.6,affordable_with_plan,installments,2024-12-07:230.05|2025-01-07:230.05|2025-02-07:230.05,2024-12-07,none,Current balance 1882.07. Safe to pay 663.6. Recommended installments.
request_239,606.27,affordable_later,wait,2025-05-15:642,2025-05-15,none,Current balance 1988.9. Safe to pay 606.27. Recommended wait.
request_240,5350.02,not_affordable,not_recommended,none,,none,Current balance 92720.0. Safe to pay 5350.02. Recommended not_recommended.
request_241,21052000.0,affordable_with_plan,installments,2024-03-17:7298026.67|2024-04-17:7298026.67|2024-05-18:7298026.67,2024-03-03,none,Current balance 90172322.14. Safe to pay 21052000.0. Recommended installments.
request_242,0.0,not_affordable,not_recommended,none,,none,Current balance 1037.4. Safe to pay 0.0. Recommended not_recommended.
request_243,17468.0,affordable_now,full_payment,2026-07-07:17468,2026-07-07,none,Current balance 47470.4. Safe to pay 17468.0. Recommended full_payment.
request_244,49918.0,affordable_now,full_payment,2024-06-04:49918,2024-06-04,none,Current balance 126279.2. Safe to pay 49918.0. Recommended full_payment.
request_245,36239.8,affordable_with_plan,installments,2025-11-06:9423.33|2025-12-06:9423.33|2026-01-05:9423.33|2026-02-04:9423.33|2026-03-06:9423.33|2026-04-05:9423.33|2026-05-05:9423.33|2026-06-04:9423.33|2026-07-04:9423.33|2026-08-03:9423.33|2026-09-02:9423.33|2026-10-02:9423.33|2026-11-01:9423.33|2026-12-01:9423.33|2026-12-31:9423.33,,none,Current balance 160360.0. Safe to pay 36239.8. Recommended installments.
request_246,64086.0,affordable_with_plan,installments,2026-04-03:22216.48|2026-05-03:22216.48|2026-06-02:22216.48,2026-04-03,none,Current balance 201692.06. Safe to pay 64086.0. Recommended installments.
request_247,1059.3,affordable_now,full_payment,2024-09-05:1059.3,2024-09-05,none,Current balance 2819.2. Safe to pay 1059.3. Recommended full_payment.
request_248,959.78,affordable_with_plan,partial_payment,2025-02-07:959.78|2025-04-15:1005.82,2025-04-15,none,Current balance 2807.36. Safe to pay 959.78. Recommended partial_payment.
request_249,0.0,not_affordable,not_recommended,none,,none,Current balance 942.4. Safe to pay 0.0. Recommended not_recommended.
request_250,17762.28,affordable_with_plan,partial_payment,2024-12-06:17762.28|2025-01-13:106515.72,2025-01-13,none,Current balance 64120.0. Safe to pay 17762.28. Recommended partial_payment.
request_251,1513.6,affordable_with_plan,installments,2025-05-10:111|2025-06-09:111|2025-07-09:111|2025-08-08:111|2025-09-07:111|2025-10-07:111|2025-11-06:111|2025-12-06:111|2026-01-05:111|2026-02-04:111|2026-03-06:111|2026-04-05:111|2026-05-05:111|2026-06-04:111|2026-07-04:111,2025-05-03,none,Current balance 4648.55. Safe to pay 1513.6. Recommended installments.
request_252,4697402.62,not_affordable,not_recommended,none,,none,Current balance 25250700.0. Safe to pay 4697402.62. Recommended not_recommended.
request_253,747.2,affordable_with_plan,installments,2024-03-07:159.59|2024-04-04:159.59|2024-05-02:159.59|2024-05-30:159.59|2024-06-27:159.59|2024-07-25:159.59|2024-08-22:159.59|2024-09-19:159.59|2024-10-17:159.59|2024-11-14:159.59|2024-12-12:159.59|2025-01-09:159.59|2025-02-06:159.59|2025-03-06:159.59|2025-04-03:159.59|2025-05-01:159.59|2025-05-29:159.59|2025-06-26:159.59|2025-07-24:159.59|2025-08-21:159.59|2025-09-18:159.59,,none,Current balance 4635.57. Safe to pay 747.2. Recommended installments.
request_254,734.54,affordable_later,wait,2025-09-13:3535.2,2025-09-13,none,Current balance 4259.6. Safe to pay 734.54. Recommended wait.
request_255,3345000.0,affordable_now,full_payment,2026-04-06:3345000,2026-04-06,none,Current balance 38518150.0. Safe to pay 3345000.0. Recommended full_payment.
request_256,141181.52,affordable_with_plan,installments,2024-06-17:12288.86|2024-07-15:12288.86|2024-08-12:12288.86|2024-09-09:12288.86|2024-10-07:12288.86|2024-11-04:12288.86|2024-12-02:12288.86|2024-12-30:12288.86|2025-01-27:12288.86|2025-02-24:12288.86|2025-03-24:12288.86|2025-04-21:12288.86|2025-05-19:12288.86|2025-06-16:12288.86|2025-07-14:12288.86|2025-08-11:12288.86|2025-09-08:12288.86|2025-10-06:12288.86|2025-11-03:12288.86|2025-12-01:12288.86|2025-12-29:12288.86,,none,Current balance 394983.28. Safe to pay 141181.52. Recommended installments.
request_257,64.26,affordable_later,wait,2025-12-14:1352.4,2025-12-14,none,Current balance 2685.2. Safe to pay 64.26. Recommended wait.
request_258,1113.6,affordable_now,full_payment,2026-01-07:1113.6,2026-01-07,none,Current balance 2603.68. Safe to pay 1113.6. Recommended full_payment.
request_259,397.02,not_affordable,not_recommended,none,,none,Current balance 1269.3. Safe to pay 397.02. Recommended not_recommended.
request_260,1016804.58,not_affordable,not_recommended,none,,none,Current balance 35787100.0. Safe to pay 1016804.58. Recommended not_recommended.
request_261,1830.4,affordable_now,full_payment,2026-07-03:1830.4,2026-07-03,none,Current balance 4718.96. Safe to pay 1830.4. Recommended full_payment.
request_262,9236000.0,affordable_now,full_payment,2024-12-05:9236000,2024-12-05,none,Current balance 88406100.0. Safe to pay 9236000.0. Recommended full_payment.
request_263,2905.83,not_affordable,not_recommended,none,,none,Current balance 38818.0. Safe to pay 2905.83. Recommended not_recommended.
request_264,14980.28,affordable_with_plan,installments,2026-04-18:7049|2026-05-19:7049|2026-06-19:7049|2026-07-20:7049|2026-08-20:7049|2026-09-20:7049|2026-10-21:7049|2026-11-21:7049|2026-12-22:7049|2027-01-22:7049|2027-02-22:7049|2027-03-25:7049|2027-04-25:7049|2027-05-26:7049|2027-06-26:7049|2027-07-27:7049|2027-08-27:7049|2027-09-27:7049,,none,Current balance 104375.0. Safe to pay 14980.28. Recommended installments.
request_265,45970.0,affordable_now,full_payment,2024-03-06:45970,2024-03-06,none,Current balance 786105.0. Safe to pay 45970.0. Recommended full_payment.
request_266,935.0,affordable_with_plan,installments,2025-08-06:68.57|2025-09-05:68.57|2025-10-05:68.57|2025-11-04:68.57|2025-12-04:68.57|2026-01-03:68.57|2026-02-02:68.57|2026-03-04:68.57|2026-04-03:68.57|2026-05-03:68.57|2026-06-02:68.57|2026-07-02:68.57|2026-08-01:68.57|2026-08-31:68.57|2026-09-30:68.57,2025-08-03,none,Current balance 2354.92. Safe to pay 935.0. Recommended installments.
request_267,1161.7,affordable_with_plan,installments,2026-01-12:121.92|2026-02-12:121.92|2026-03-15:121.92|2026-04-15:121.92|2026-05-16:121.92|2026-06-16:121.92|2026-07-17:121.92|2026-08-17:121.92|2026-09-17:121.92|2026-10-18:121.92|2026-11-18:121.92|2026-12-19:121.92|2027-01-19:121.92|2027-02-19:121.92|2027-03-22:121.92|2027-04-22:121.92|2027-05-23:121.92|2027-06-23:121.92,,none,Current balance 3648.98. Safe to pay 1161.7. Recommended installments.
request_268,989.62,affordable_with_plan,installments,2024-06-14:841.22|2024-07-15:841.22|2024-08-15:841.22,2024-08-13,none,Current balance 2912.52. Safe to pay 989.62. Recommended installments.
request_269,0.0,not_affordable,not_recommended,none,,none,Current balance 45307.9. Safe to pay 0.0. Recommended not_recommended.
request_270,146.91,affordable_with_plan,installments,2026-07-20:153.96|2026-08-19:153.96|2026-09-18:153.96|2026-10-18:153.96|2026-11-17:153.96|2026-12-17:153.96|2027-01-16:153.96|2027-02-15:153.96|2027-03-17:153.96|2027-04-16:153.96|2027-05-16:153.96|2027-06-15:153.96|2027-07-15:153.96|2027-08-14:153.96|2027-09-13:153.96|2027-10-13:153.96|2027-11-12:153.96|2027-12-12:153.96|2028-01-11:153.96|2028-02-10:153.96|2028-03-11:153.96|2028-04-10:153.96|2028-05-10:153.96|2028-06-09:153.96,2026-08-14,none,Current balance 1935.4. Safe to pay 146.91. Recommended installments.
request_271,9936.75,affordable_later,wait,2024-11-13:91300,2024-11-13,none,Current balance 142960.0. Safe to pay 9936.75. Recommended wait.
request_272,6064232.55,affordable_with_plan,installments,2025-02-12:4709466.67|2025-03-12:4709466.67|2025-04-09:4709466.67,2025-03-16,none,Current balance 16324524.0. Safe to pay 6064232.55. Recommended installments.
request_273,6927997.18,affordable_with_plan,partial_payment,2026-04-07:6927997.18|2026-05-14:8933002.82,2026-05-14,none,Current balance 32146800.0. Safe to pay 6927997.18. Recommended partial_payment.
request_274,1475.94,affordable_with_plan,installments,2024-12-07:152.48|2025-01-04:152.48|2025-02-01:152.48|2025-03-01:152.48|2025-03-29:152.48|2025-04-26:152.48|2025-05-24:152.48|2025-06-21:152.48|2025-07-19:152.48|2025-08-16:152.48|2025-09-13:152.48|2025-10-11:152.48|2025-11-08:152.48|2025-12-06:152.48|2026-01-03:152.48|2026-01-31:152.48|2026-02-28:152.48|2026-03-28:152.48|2026-04-25:152.48|2026-05-23:152.48|2026-06-20:152.48,,none,Current balance 4847.31. Safe to pay 1475.94. Recommended installments.
request_275,15884000.0,affordable_now,full_payment,2025-05-06:15884000,2025-05-06,none,Current balance 37206450.0. Safe to pay 15884000.0. Recommended full_payment.
